name,generation,price,city,departament
Toyota Hilux 2.4 4x4 Diesel Full,2023,216500000.0,Usaquén , Bogotá D.C.
"Trailer Remolque, Oficina Movil De Gran Capacidad,",2024,35000000.0,Engativa , Bogotá D.C.
Toyota Land Cruiser 300 Gr-s 2023 B2+,2023,850000000.0,Medellín , Antioquia
Jac E10x Electrico,2023,104990000.0,Usaquén , Bogotá D.C.
Volkswagen Jetta 2.0 Gli,2023,159990000.0,Suba , Bogotá D.C.
Volkswagen Jetta 2.0 Gli,2023,159990000.0,Suba , Bogotá D.C.
Suzuki Swift Hibrido,2023,79990000.0,Bogota , Cundinamarca
Ford Bronco 193490000,2023,193990000.0,Chía , Cundinamarca
Bmw X1 Paquete M Entrega Inmediata,2023,239900000.0,Suba , Bogotá D.C.
Bmw X1 1.5 F48 Sdrive 18i,2023,229900000.0,Suba , Bogotá D.C.
Toyota Prado Txl 2.8 Diésel Euro6,2023,385990000.0,Medellín , Antioquia
Honda Pilot Exln 4wd,2022,249990000.0,Santa Fe , Bogotá D.C.
Suzuki Baleno Cross Mecanico,2023,82590000.0,Antonio Nariño , Bogotá D.C.
Suzuki Baleno Automatico,2023,86590000.0,Engativa , Bogotá D.C.
Kia Rio Vibrant,2023,80700000.0,Chía , Cundinamarca
Changan Cs55 Plus Turbo Plus Turbo,2023,142990000.0,Medellín , Antioquia
Changan Cs 35 Plus Turbo,2023,122990000.0,Medellín , Antioquia
Ford F-150 Xlt Hibrida,2022,294990000.0,Suba , Bogotá D.C.
Jac Jqr Grua Nueva Freno De Aire Y Aa Modelo 2024,2023,221090000.0,Engativa , Bogotá D.C.
Foton M14 Modelo 2022 8 Toneladas En Bascula,2022,307000000.0,Engativa , Bogotá D.C.
Changan Cs 15 Luxury,2023,85990000.0,Medellín , Antioquia
Chevrolet Onix 1.0t Mecánica,2023,78220000.0,Suba , Bogotá D.C.
Chevrolet Tracker Turbo Ls Mt Tracker Turbo Ls Mt,2023,96810000.0,Suba , Bogotá D.C.
Chevrolet Silverado Z71,2023,271690000.0,Suba , Bogotá D.C.
Kia Niro Vibrant,2024,168990000.0,Santa Fe , Bogotá D.C.
Volkswagen T-cross Trendline Mecanica Sense,2023,86990000.0,Suba , Bogotá D.C.
Volkswagen T-cross Trendline Automatica Sin Techo,2023,105990000.0,Suba , Bogotá D.C.
Hyundai Kona Limited,2023,169980000.0,Suba , Bogotá D.C.
Kia Rio 1.4 Zenith Hb 5 P,2023,88890000.0,Antonio Nariño , Bogotá D.C.
Volkswagen Teramont 3.6 Highline 4motion,2023,232990000.0,Cali , Valle Del Cauca
Kia Sportage 2.0l Gasolina 4x4,2023,204490000.0,Usaquén , Bogotá D.C.
Citroën C5 Aircross Unique,2023,165500000.0,Engativa , Bogotá D.C.
Cupra Formentor 2.0 T 190hp,2023,167490000.0,Suba , Bogotá D.C.
Volkswagen Virtus Trendline Mecánico,2023,78390199.0,Suba , Bogotá D.C.
Seat Ateca Style Sport,2023,148990000.0,Suba , Bogotá D.C.
Seat Arona 1.6 Reference,2023,93990000.0,Suba , Bogotá D.C.
Ford Ranger Limited Black,2023,209990000.0,Cali , Valle Del Cauca
Volkswagen T-cross Trendline At Trendline At Sin Tec,2023,105990000.0,Medellín , Antioquia
Suzuki S-cross Glx At,2023,121590000.0,Engativa , Bogotá D.C.
Volkswagen T-cross Trendline Trendline Send,2023,86970000.0,Suba , Bogotá D.C.
Volkswagen Nivus Comfortline Sense At,2023,96900000.0,Suba , Bogotá D.C.
Volkswagen Taos 1.4 Tsi Comfortline Select,2022,141990000.0,Suba , Bogotá D.C.
Volkswagen Virtus Comfortline Automatico,2023,98990000.0,Suba , Bogotá D.C.
Volkswagen Nivus Comfortline Sense Automatica,2023,96990000.0,Suba , Bogotá D.C.
Citroën C4 Cactus 1.6 Shine Turbo Aut,2023,105759000.0,Engativa , Bogotá D.C.
Volvo Xc40 B4,2023,231990000.0,Santa Fe , Bogotá D.C.
Volkswagen Nivus Highline,2023,128990000.0,Medellín , Antioquia
Byd Yuan Plus Ev,2023,202900000.0,Pereira , Risaralda
Renault Stepway Intens,2023,86100000.0,Bogota , Cundinamarca
Volvo Xc40 Ultimate Dark,2023,269990000.0,Santa Fe , Bogotá D.C.
Suzuki Vitara Live Gl,2023,99490000.0,Puente Aranda , Bogotá D.C.
Honda Wr-v Wr-v,2023,109490000.0,Santa Fe , Bogotá D.C.
Suzuki Baleno Baleno Cross,2023,82590000.0,Chapinero , Bogotá D.C.
Suzuki Vitara Gl Automatica,2023,103590000.0,Chapinero , Bogotá D.C.
Citroën C-elysée Feel Mt,2023,84990000.0,Engativa , Bogotá D.C.
Suzuki Baleno Gl,2023,82590000.0,Engativa , Bogotá D.C.
Citroën C4 Cactus Automatico,2023,94490000.0,Chapinero , Bogotá D.C.
Suzuki Vitara Automática,2023,103590000.0,Puente Aranda , Bogotá D.C.
Suzuki Vitara Mecánica,2023,99590000.0,Usaquén , Bogotá D.C.
Suzuki Swift Automática,2023,77490000.0,Antonio Nariño , Bogotá D.C.
Suzuki Swift Mécanico,2023,73490000.0,Engativa , Bogotá D.C.
Suzuki Swift Hybrid Mecánico,2023,80990000.0,Puente Aranda , Bogotá D.C.
Suzuki Jimny Gl Mt,2023,114170000.0,Puente Aranda , Bogotá D.C.
Mazda 2 Grand Touring Lx,2023,94050000.0,Ibagué , Tolima
Kia 2023 Emotion,2023,109590000.0,Usaquén , Bogotá D.C.
Seat Arona Arona Fr,2023,93980000.0,Engativa , Bogotá D.C.
Renault Kwid Intens,2023,55200000.0,Puente Aranda , Bogotá D.C.
Renault Koleos Intens,2022,158900000.0,Puente Aranda , Bogotá D.C.
Volkswagen T-cross Comfortline,2023,128990000.0,Medellín , Antioquia
Toyota Fortuner 2.4 Euro 6,2023,253900000.0,Medellín , Antioquia
Renault Koleos Zen,2023,142100000.0,Chapinero , Bogotá D.C.
Mitsubishi Montero Sport,2023,287900000.0,Usaquén , Bogotá D.C.
Suzuki S-cross Automatica,2023,121590000.0,Engativa , Bogotá D.C.
Toyota Corolla Cross Seg Hibrido Sin Pico Y Placa,2023,164000000.0,Medellín , Antioquia
Kia Sonet Vibrant Automático,2023,101190000.0,Antonio Nariño , Bogotá D.C.
Hyundai New Accent Advance,2023,87490000.0,Suba , Bogotá D.C.
